accX,accY,accZ
-2.196,-11.765,-1.569
-2.51,-10.353,-2.039
-2.353,-10.824,-2.51
-1.882,-10.667,-2.667
-1.412,-10.353,-2.824
-0.314,-9.725,-3.608
-0.471,-9.098,-4.078
-0.784,-8.941,-4.078
0,-9.098,-4.078
0,-8.784,-4.549
-0.784,-8.314,-4.706
-1.882,-8.314,-4.549
-0.941,-9.098,-3.294
-0.314,-9.255,-2.98
-1.412,-8,-3.451
-1.725,-8.157,-2.98
-0.627,-8.314,-1.412
-1.255,-7.843,-1.725
-1.882,-7.529,-1.412
-2.98,-7.843,-1.255
-2.51,-8.314,-0.941
-1.569,-8.157,-2.51
-2.51,-8,-3.137
-2.824,-8.471,-3.294
-2.51,-8.784,-2.667
-2.039,-8.471,-3.608
-3.137,-8.314,-3.137
-3.608,-8.627,-2.824
-2.824,-9.255,-2.039
-2.039,-9.255,-2.039
-2.824,-9.412,-2.667
-3.294,-9.725,-2.51
-1.412,-10.51,-2.824
-1.098,-11.137,-2.98
-1.725,-11.451,-3.137
-2.353,-11.922,-2.51
-1.882,-11.765,-1.882
-2.039,-12.706,-0.627
-2.039,-13.647,0.471
-0.941,-16.471,0.784
-0.627,-18.353,-0.471
2.667,-20.235,-2.353
2.196,-21.176,-3.294
1.255,-21.176,-4.549
3.137,-20.863,-4.235
2.98,-20.392,-3.451
4.078,-19.922,-8
4.392,-20.392,-9.569
3.608,-21.647,-9.098
1.725,-20.863,-8.941
-0.471,-20.235,-8.314
-4.549,-14.588,-10.196
-4.392,-12.078,-8.941
1.569,-8.784,-4.392
2.353,-8.627,-5.647
8.627,-11.451,1.098
9.725,-9.098,1.098
10.196,-4.235,2.039
6.902,-2.196,2.039
5.176,-0.941,2.196
5.176,-0.941,1.882
5.647,-1.412,2.039
6.431,-2.824,2.039
6.118,-3.294,2.196
4.078,-3.922,1.882
2.667,-4.235,0.784
2.196,-4.863,0.627
2.667,-5.804,0
3.451,-6.745,-0.157
2.824,-8.157,-0.627
1.882,-9.098,-1.725
0,-10.039,-2.98
-0.784,-10.196,-3.922
-1.882,-10.353,-5.333
-2.039,-10.98,-6.118
-2.353,-11.608,-6.431
-2.98,-14.118,-6.902
-3.765,-15.216,-6.902
-5.961,-17.412,-8.941
-7.216,-18.039,-9.725
-10.196,-18.824,-11.765
