index,accX,accY,accZ,HS,TO,HS_mark,TO_mark
0,-2.1959999999999997,-11.765,-1.569,0,0,,
1,-2.51,-10.353,-2.039,0,0,,
2,-2.353,-10.824000000000002,-2.51,0,0,,
3,-1.882,-10.667,-2.667,0,0,,
4,-1.412,-10.353,-2.824,0,0,,
5,-0.314,-9.725,-3.608,0,0,,
6,-0.47100000000000003,-9.097999999999999,-4.078,0,0,,
7,-0.784,-8.941,-4.078,0,0,,
8,0.0,-9.097999999999999,-4.078,0,0,,
9,0.0,-8.783999999999999,-4.5489999999999995,0,0,,
10,-0.784,-8.314,-4.706,0,0,,
11,-1.882,-8.314,-4.5489999999999995,0,0,,
12,-0.941,-9.097999999999999,-3.2939999999999996,0,0,,
13,-0.314,-9.255,-2.98,0,0,,
14,-1.412,-8.0,-3.451,0,0,,
15,-1.725,-8.157,-2.98,0,0,,
16,-0.627,-8.314,-1.412,0,0,,
17,-1.255,-7.843,-1.725,0,0,,
18,-1.882,-7.529,-1.412,0,0,,
19,-2.98,-7.843,-1.255,0,0,,
20,-2.51,-8.314,-0.941,0,0,,
21,-1.569,-8.157,-2.51,0,0,,
22,-2.51,-8.0,-3.137,0,0,,
23,-2.824,-8.471,-3.2939999999999996,0,0,,
24,-2.51,-8.783999999999999,-2.667,0,0,,
25,-2.039,-8.471,-3.608,0,0,,
26,-3.137,-8.314,-3.137,0,0,,
27,-3.608,-8.627,-2.824,0,0,,
28,-2.824,-9.255,-2.039,0,0,,
29,-2.039,-9.255,-2.039,0,0,,
30,-2.824,-9.412,-2.667,0,0,,
31,-3.2939999999999996,-9.725,-2.51,0,0,,
32,-1.412,-10.51,-2.824,0,0,,
33,-1.0979999999999999,-11.137,-2.98,0,0,,
34,-1.725,-11.450999999999999,-3.137,0,0,,
35,-2.353,-11.922,-2.51,0,0,,
36,-1.882,-11.765,-1.882,0,0,,
37,-2.039,-12.706,-0.627,0,0,,
38,-2.039,-13.647,0.47100000000000003,0,0,,
39,-0.941,-16.471,0.784,0,0,,
40,-0.627,-18.352999999999998,-0.47100000000000003,0,0,,
41,2.667,-20.235,-2.353,0,0,,
42,2.1959999999999997,-21.176,-3.2939999999999996,0,0,,
43,1.255,-21.176,-4.5489999999999995,0,0,,
44,3.137,-20.863000000000003,-4.235,0,0,,
45,2.98,-20.392,-3.451,0,0,,
46,4.078,-19.922,-8.0,0,1,,-30.0
47,4.3919999999999995,-20.392,-9.568999999999999,0,0,,
48,3.608,-21.647,-9.097999999999999,0,0,,
49,1.725,-20.863000000000003,-8.941,0,0,,
50,-0.47100000000000003,-20.235,-8.314,0,0,,
51,-4.5489999999999995,-14.588,-10.196,0,0,,
52,-4.3919999999999995,-12.078,-8.941,0,0,,
53,1.569,-8.783999999999999,-4.3919999999999995,0,0,,
54,2.353,-8.627,-5.647,0,0,,
55,8.627,-11.450999999999999,1.0979999999999999,0,0,,
56,9.725,-9.097999999999999,1.0979999999999999,0,0,,
57,10.196,-4.235,2.039,0,0,,
58,6.902,-2.1959999999999997,2.039,0,0,,
